customer_id,customer_name,email,phone,segment
1,Customer 1,customer1@example.com,+1-555-822-2364,Home Office
2,Customer 2,customer2@example.com,+1-555-606-8386,Consumer
3,Customer 3,customer3@example.com,+1-555-996-2982,Home Office
4,Customer 4,customer4@example.com,+1-555-722-2024,Corporate
5,Customer 5,customer5@example.com,+1-555-446-6735,Consumer
6,Customer 6,customer6@example.com,+1-555-239-3949,Corporate
7,Customer 7,customer7@example.com,+1-555-192-5285,Home Office
8,Customer 8,customer8@example.com,+1-555-579-6049,Consumer
9,Customer 9,customer9@example.com,+1-555-193-7818,Home Office
10,Customer 10,customer10@example.com,+1-555-966-9575,Corporate
11,Customer 11,customer11@example.com,+1-555-241-9883,Consumer
12,Customer 12,customer12@example.com,+1-555-266-5887,Home Office
13,Customer 13,customer13@example.com,+1-555-220-9766,Consumer
14,Customer 14,customer14@example.com,+1-555-946-8711,Consumer
15,Customer 15,customer15@example.com,+1-555-730-7038,Home Office
16,Customer 16,customer16@example.com,+1-555-173-7665,Corporate
17,Customer 17,customer17@example.com,+1-555-928-8825,Corporate
18,Customer 18,customer18@example.com,+1-555-248-1114,Home Office
19,Customer 19,customer19@example.com,+1-555-733-4074,Home Office
20,Customer 20,customer20@example.com,+1-555-677-5103,Consumer
21,Customer 21,customer21@example.com,+1-555-173-7496,Corporate
22,Customer 22,customer22@example.com,+1-555-160-2612,Consumer
23,Customer 23,customer23@example.com,+1-555-816-7048,Consumer
24,Customer 24,customer24@example.com,+1-555-349-8571,Home Office
25,Customer 25,customer25@example.com,+1-555-133-7193,Home Office
26,Customer 26,customer26@example.com,+1-555-493-7076,Home Office
27,Customer 27,customer27@example.com,+1-555-376-8852,Consumer
28,Customer 28,customer28@example.com,+1-555-890-4029,Home Office
29,Customer 29,customer29@example.com,+1-555-796-6990,Corporate
30,Customer 30,customer30@example.com,+1-555-481-2950,Corporate
31,Customer 31,customer31@example.com,+1-555-195-1327,Consumer
32,Customer 32,customer32@example.com,+1-555-813-1950,Corporate
33,Customer 33,customer33@example.com,+1-555-684-6296,Corporate
34,Customer 34,customer34@example.com,+1-555-703-4708,Corporate
35,Customer 35,customer35@example.com,+1-555-891-1558,Home Office
36,Customer 36,customer36@example.com,+1-555-112-3634,Consumer
37,Customer 37,customer37@example.com,+1-555-177-3625,Corporate
38,Customer 38,customer38@example.com,+1-555-143-9062,Home Office
39,Customer 39,customer39@example.com,+1-555-493-9064,Corporate
40,Customer 40,customer40@example.com,+1-555-505-1911,Corporate
41,Customer 41,customer41@example.com,+1-555-574-7431,Corporate
42,Customer 42,customer42@example.com,+1-555-550-3361,Home Office
43,Customer 43,customer43@example.com,+1-555-431-5940,Consumer
44,Customer 44,customer44@example.com,+1-555-219-5921,Home Office
45,Customer 45,customer45@example.com,+1-555-810-1934,Consumer
46,Customer 46,customer46@example.com,+1-555-721-6598,Corporate
47,Customer 47,customer47@example.com,+1-555-203-5639,Corporate
48,Customer 48,customer48@example.com,+1-555-997-7602,Consumer
49,Customer 49,customer49@example.com,+1-555-472-1310,Corporate
50,Customer 50,customer50@example.com,+1-555-950-3222,Corporate
51,Customer 51,customer51@example.com,+1-555-184-5376,Home Office
52,Customer 52,customer52@example.com,+1-555-450-7619,Home Office
53,Customer 53,customer53@example.com,+1-555-696-7558,Consumer
54,Customer 54,customer54@example.com,+1-555-545-5021,Home Office
55,Customer 55,customer55@example.com,+1-555-615-2237,Consumer
56,Customer 56,customer56@example.com,+1-555-430-2568,Home Office
57,Customer 57,customer57@example.com,+1-555-995-1984,Consumer
58,Customer 58,customer58@example.com,+1-555-566-1076,Corporate
59,Customer 59,customer59@example.com,+1-555-957-4676,Consumer
60,Customer 60,customer60@example.com,+1-555-858-9753,Home Office
61,Customer 61,customer61@example.com,+1-555-586-5381,Corporate
62,Customer 62,customer62@example.com,+1-555-207-2041,Consumer
63,Customer 63,customer63@example.com,+1-555-832-9730,Corporate
64,Customer 64,customer64@example.com,+1-555-915-9941,Consumer
65,Customer 65,customer65@example.com,+1-555-348-3807,Corporate
66,Customer 66,customer66@example.com,+1-555-790-1454,Home Office
