customer_id,customer_name,email,phone,segment
1,Customer 1,customer1@example.com,+1-555-723-9152,Home Office
2,Customer 2,customer2@example.com,+1-555-669-1778,Corporate
3,Customer 3,customer3@example.com,+1-555-717-7824,Corporate
4,Customer 4,customer4@example.com,+1-555-732-6240,Corporate
5,Customer 5,customer5@example.com,+1-555-811-6042,Corporate
6,Customer 6,customer6@example.com,+1-555-975-7606,Corporate
7,Customer 7,customer7@example.com,+1-555-964-2781,Home Office
8,Customer 8,customer8@example.com,+1-555-307-2311,Home Office
9,Customer 9,customer9@example.com,+1-555-439-9968,Corporate
10,Customer 10,customer10@example.com,+1-555-381-7485,Home Office
11,Customer 11,customer11@example.com,+1-555-665-4975,Corporate
12,Customer 12,customer12@example.com,+1-555-663-9538,Home Office
13,Customer 13,customer13@example.com,+1-555-316-1027,Corporate
14,Customer 14,customer14@example.com,+1-555-454-3340,Corporate
15,Customer 15,customer15@example.com,+1-555-147-4848,Consumer
16,Customer 16,customer16@example.com,+1-555-224-6214,Consumer
17,Customer 17,customer17@example.com,+1-555-165-7283,Corporate
18,Customer 18,customer18@example.com,+1-555-850-9684,Consumer
19,Customer 19,customer19@example.com,+1-555-965-3312,Consumer
20,Customer 20,customer20@example.com,+1-555-577-1213,Consumer
21,Customer 21,customer21@example.com,+1-555-592-2951,Consumer
22,Customer 22,customer22@example.com,+1-555-325-2151,Corporate
23,Customer 23,customer23@example.com,+1-555-100-6847,Corporate
24,Customer 24,customer24@example.com,+1-555-379-2461,Consumer
25,Customer 25,customer25@example.com,+1-555-640-6708,Corporate
26,Customer 26,customer26@example.com,+1-555-657-6826,Corporate
27,Customer 27,customer27@example.com,+1-555-583-2321,Corporate
28,Customer 28,customer28@example.com,+1-555-274-6312,Home Office
29,Customer 29,customer29@example.com,+1-555-782-3897,Corporate
30,Customer 30,customer30@example.com,+1-555-778-7323,Home Office
31,Customer 31,customer31@example.com,+1-555-256-7295,Corporate
32,Customer 32,customer32@example.com,+1-555-448-1390,Corporate
33,Customer 33,customer33@example.com,+1-555-932-5264,Consumer
34,Customer 34,customer34@example.com,+1-555-104-5731,Consumer
35,Customer 35,customer35@example.com,+1-555-158-6866,Corporate
36,Customer 36,customer36@example.com,+1-555-774-8730,Home Office
37,Customer 37,customer37@example.com,+1-555-418-8916,Consumer
38,Customer 38,customer38@example.com,+1-555-203-4393,Consumer
39,Customer 39,customer39@example.com,+1-555-460-8426,Consumer
40,Customer 40,customer40@example.com,+1-555-384-9345,Consumer
41,Customer 41,customer41@example.com,+1-555-427-4805,Consumer
42,Customer 42,customer42@example.com,+1-555-340-4490,Consumer
43,Customer 43,customer43@example.com,+1-555-550-6315,Corporate
44,Customer 44,customer44@example.com,+1-555-725-4586,Consumer
45,Customer 45,customer45@example.com,+1-555-257-3473,Consumer
46,Customer 46,customer46@example.com,+1-555-119-1719,Home Office
47,Customer 47,customer47@example.com,+1-555-129-7387,Home Office
48,Customer 48,customer48@example.com,+1-555-233-5816,Consumer
49,Customer 49,customer49@example.com,+1-555-839-5325,Home Office
50,Customer 50,customer50@example.com,+1-555-546-4294,Corporate
51,Customer 51,customer51@example.com,+1-555-113-2017,Home Office
52,Customer 52,customer52@example.com,+1-555-358-1875,Consumer
53,Customer 53,customer53@example.com,+1-555-877-3727,Consumer
54,Customer 54,customer54@example.com,+1-555-749-5926,Corporate
55,Customer 55,customer55@example.com,+1-555-809-4726,Home Office
56,Customer 56,customer56@example.com,+1-555-461-3753,Corporate
57,Customer 57,customer57@example.com,+1-555-236-1680,Corporate
58,Customer 58,customer58@example.com,+1-555-858-1815,Corporate
59,Customer 59,customer59@example.com,+1-555-413-5630,Home Office
60,Customer 60,customer60@example.com,+1-555-846-4410,Home Office
61,Customer 61,customer61@example.com,+1-555-362-7969,Home Office
62,Customer 62,customer62@example.com,+1-555-737-9696,Home Office
63,Customer 63,customer63@example.com,+1-555-143-3506,Corporate
64,Customer 64,customer64@example.com,+1-555-575-1306,Home Office
65,Customer 65,customer65@example.com,+1-555-461-8938,Corporate
66,Customer 66,customer66@example.com,+1-555-538-7050,Home Office
67,Customer 67,customer67@example.com,+1-555-478-5740,Consumer
68,Customer 68,customer68@example.com,+1-555-332-4860,Corporate
69,Customer 69,customer69@example.com,+1-555-871-5493,Consumer
70,Customer 70,customer70@example.com,+1-555-811-7545,Corporate
71,Customer 71,customer71@example.com,+1-555-121-2158,Home Office
72,Customer 72,customer72@example.com,+1-555-228-4304,Consumer
